load_zone,provider,count,mean,std,min,p50,p99,max
au:sydney,aws,17198,284.15,33.36,272.23,279.88,358.42,2417.46
au:sydney,cloudflare,17196,12.62,16.95,4.89,9.39,148.39,368.28
au:sydney,flyio,17227,14.35,85.0,3.8,5.13,251.21,1375.8
au:sydney,google,17244,312.88,73.38,297.29,305.78,341.59,1681.65
br:sao paulo,aws,17349,230.0,25.38,217.43,227.05,275.28,2166.58
br:sao paulo,cloudflare,17246,23.24,40.61,4.55,9.63,204.72,219.84
br:sao paulo,flyio,17266,17.81,102.59,4.11,6.81,294.79,2085.09
br:sao paulo,google,17361,230.19,65.97,219.07,224.26,255.06,1557.13
ca:montreal,aws,17523,120.82,22.03,109.23,118.17,169.0,473.82
ca:montreal,cloudflare,17275,8.11,3.32,5.0,7.29,18.83,112.94
ca:montreal,flyio,17170,13.85,77.32,4.4,5.97,147.31,1415.4
ca:montreal,google,17499,132.25,56.82,118.09,124.82,185.9,1464.0
cn:hong kong,aws,16979,224.01,7.34,212.05,222.73,250.34,361.29
cn:hong kong,cloudflare,17272,15.17,25.9,5.49,9.12,165.89,309.7
cn:hong kong,flyio,17217,63.96,208.56,37.16,40.1,619.95,5440.03
cn:hong kong,google,17191,309.64,52.92,292.51,309.24,331.57,1455.39
de:frankfurt,aws,17208,33.21,6.26,25.18,32.27,59.82,219.0
de:frankfurt,cloudflare,17079,11.13,6.56,4.03,9.59,35.79,225.19
de:frankfurt,flyio,16893,26.36,200.86,9.33,11.01,340.03,6638.01
de:frankfurt,google,17258,40.1,18.27,35.66,38.9,51.07,1565.1
fr:paris,aws,17344,42.42,6.09,34.91,41.48,67.08,253.87
fr:paris,cloudflare,17177,8.57,3.16,4.85,7.74,20.82,96.73
fr:paris,flyio,17023,20.18,142.06,3.54,4.94,466.7,6564.45
fr:paris,google,17323,45.68,16.65,40.4,44.2,65.61,1181.73
gb:london,aws,17118,45.63,21.5,35.68,43.05,91.52,365.01
gb:london,cloudflare,17063,11.31,5.51,5.93,9.86,30.8,225.04
gb:london,flyio,17027,17.3,105.36,3.91,5.31,284.82,5015.02
gb:london,google,17276,53.9,52.55,42.1,48.94,82.41,1175.53
ie:dublin,aws,17170,53.86,7.62,43.3,52.71,86.89,294.48
ie:dublin,cloudflare,17068,8.6,4.68,4.85,7.51,21.62,230.25
ie:dublin,flyio,16909,25.9,92.94,12.99,14.93,243.17,2117.31
ie:dublin,google,17010,56.47,18.26,50.87,55.68,70.54,1168.5
in:mumbai,aws,17159,157.96,6.44,142.33,156.93,184.76,281.69
in:mumbai,cloudflare,16987,10.92,25.33,4.65,7.42,76.8,353.81
in:mumbai,flyio,17093,78.88,223.99,54.62,63.53,200.56,9743.23
in:mumbai,google,17080,394.83,40.84,375.17,392.0,421.86,2043.49
it:milan,aws,17144,43.47,9.75,35.13,41.88,74.94,305.28
it:milan,cloudflare,17305,17.86,23.53,5.27,12.65,171.04,423.36
it:milan,flyio,17032,38.81,221.91,18.56,20.75,367.58,6821.57
it:milan,google,17171,51.11,19.82,44.22,49.2,75.15,1201.34
jp:osaka,aws,17423,265.06,8.69,251.16,263.45,303.35,401.03
jp:osaka,cloudflare,17229,8.76,5.54,3.65,7.63,23.75,330.21
jp:osaka,flyio,17052,27.74,93.99,10.16,11.79,257.99,2036.87
jp:osaka,google,17427,278.84,32.19,257.93,277.81,355.91,1547.12
jp:tokyo,aws,17227,258.6,12.19,245.32,255.98,301.96,1029.35
jp:tokyo,cloudflare,17322,12.68,7.81,6.08,10.72,39.2,347.76
jp:tokyo,flyio,17342,16.03,88.78,4.07,5.94,160.98,1435.49
jp:tokyo,google,17230,269.42,35.08,249.85,271.47,304.99,1573.44
kr:seoul,aws,17227,278.76,13.46,250.22,284.3,309.89,429.51
kr:seoul,cloudflare,17191,14.2,12.42,6.36,10.35,49.71,575.02
kr:seoul,flyio,17192,43.51,63.96,33.63,36.25,156.07,1350.7
kr:seoul,google,17281,312.33,39.52,280.32,305.94,525.94,1615.38
sa:cape town,aws,16558,188.45,14.56,176.32,187.71,215.71,1792.49
sa:cape town,cloudflare,17215,134.11,12.47,126.83,130.69,194.2,434.93
sa:cape town,flyio,17264,31.64,70.83,19.36,23.31,179.52,1147.98
sa:cape town,google,16624,226.49,22.01,210.82,223.86,244.72,1174.45
se:stockholm,aws,16871,12.97,5.09,6.24,12.31,35.41,108.28
se:stockholm,cloudflare,16972,30.77,8.56,15.5,32.8,51.47,177.85
se:stockholm,flyio,16901,22.7,244.8,4.35,5.97,119.33,11386.91
se:stockholm,google,16959,20.34,12.88,15.53,19.43,39.41,789.26
sg:singapore,aws,16789,190.99,10.7,182.04,189.24,223.07,1013.69
sg:singapore,cloudflare,16484,9.4,6.07,4.44,8.33,23.65,308.31
sg:singapore,flyio,16485,23.26,208.97,2.72,4.13,242.54,5156.09
sg:singapore,google,16933,334.91,33.14,317.14,332.67,355.7,2080.56
us:ashburn,aws,17347,122.3,6.36,109.16,121.75,149.51,405.37
us:ashburn,cloudflare,17234,10.3,6.22,4.36,8.91,29.38,243.07
us:ashburn,flyio,17247,17.36,106.58,3.42,5.35,355.2,3506.95
us:ashburn,google,17348,119.15,24.71,108.59,116.75,222.2,963.29
us:columbus,aws,17510,133.43,8.43,120.02,132.65,166.4,451.95
us:columbus,cloudflare,17378,18.56,6.32,12.64,16.67,40.01,253.32
us:columbus,flyio,17218,25.22,100.04,12.63,14.82,303.73,4002.31
us:columbus,google,17500,137.65,25.29,128.47,135.99,171.1,1917.81
us:palo alto,aws,17420,183.72,6.2,173.76,182.88,208.94,401.87
us:palo alto,cloudflare,17290,9.28,4.25,4.81,8.25,22.49,227.04
us:palo alto,flyio,17179,24.98,86.78,12.85,14.91,321.87,1782.73
us:palo alto,google,17436,180.56,40.42,169.65,176.85,195.71,1302.25
us:portland,aws,17386,169.39,24.43,159.73,167.76,198.11,3236.21
us:portland,cloudflare,17302,17.61,6.42,10.82,15.9,37.24,210.71
us:portland,flyio,17368,24.15,110.15,8.71,11.25,611.74,5921.7
us:portland,google,17372,184.37,22.81,173.45,182.05,218.69,2275.14
